Data;Hora;Gênero m0 f1;Idade;Tipo i0 p1;Tempo;Gasto Semana;Cigarros Semana;Tentou parar 1;Acompanhado 1;Pessoas;Local: Residência;Local: Residência de outros;Local: Instituição de ensino;Local: Festas;Local: Trabalho;Local: Locais públicos;Local: Estabelecimentos particulares;Fator: Horário do dia;Fator: Refeição;Fator:  Pessoas específicas;Fator:  Local específico;Fator:  Sentimento específico;Fator: Hábito específico;Fator:  Dia da semana;Reforço Informativo;Reforço Utilitário;Punição Informativo;Punição Utilitário;Utilitário;Informativo;Utilitário2;Informativo2
12/06/2019;10:52:11;1;23;1;1,5;6;10;1;0;0;5;2;5;4;3;3;4;1;5;6;5;6;6;1;7;12;6;9;21;13;441;169
12/06/2019;12:24:16;1;25;0;2;40;35;0;0;0;5;1;1;4;1;3;1;6;3;5;3;1;6;6;2;8;5;11;19;7;361;49
12/06/2019;12:44:21;0;25;1;2;11,25;10;1;1;8;5;3;1;5;1;1;3;1;6;5;1;2;3;1;4;7;4;6;13;8;169;64
12/06/2019;13:01:27;0;42;1;20;20;25;0;0;0;5;3;1;5;5;3;2;1;4;4;3;5;6;5;4;7;8;5;12;12;144;144
12/06/2019;14:53:53;1;23;0;5;6;20;1;1;8;5;1;5;5;1;5;5;4;6;6;6;6;6;1;6;12;10;7;19;16;361;256
12/06/2019;15:10:15;0;31;0;8;140;280;0;0;0;4;5;5;5;5;5;4;6;6;6;5;5;6;5;3;12;1;11;23;4;529;16
12/06/2019;15:10:23;1;22;0;2;25;20;0;1;3;1;5;5;5;5;2;5;1;6;6;6;6;4;1;5;10;7;3;13;12;169;144
12/06/2019;17:42:30;0;22;0;2,5;20;140;0;0;0;5;3;5;5;1;1;1;6;6;3;5;6;6;1;7;12;6;7;19;13;361;169
16/06/2019;18:58:19;0;22;0;1,5;13;30;1;1;3;5;3;4;5;1;4;4;2;5;4;4;5;5;2;3;10;7;8;18;10;324;100
21/08/2019;22:24:36;0;23;1;1,5;5;5;1;1;5;5;1;3;1;1;3;2;5;2;5;4;6;5;1;3;10;4;12;22;7;484;49
